compound_ID,FACTS Prediction,DOCK score,FEP kcal/mol,MM/GBSA kcal/mol,SMILES,Experimental Ki uM 3 points,Experimental Ki uM Full CRC,Short Code
ZINCnw00000aCsrQ,Plausible hits,-91.680458,-11.07,-201.79,[Na+].[O-]C=1C(Cl)=CC=CC1S(=O)(=O)NC=2C=NC=C(C2)C=3C=CNN3,26.65,,CsrQ
ZINCol00000foEXm,Plausible hits,-91.672913,-8.97,-156.55,[Na+].COC(=O)C(CC=1C=CN=CC1)NS(=O)(=O)C=2C=CC=C(Cl)C2[O-],NA,,oEXm
ZINCpH00000afDE6,Plausible hits,-91.660721,-13.26,-177.39,[Na+].CN1C=CN=C1SC=2C=CC(NS(=O)(=O)C=3C=CC=C(Cl)C3[O-])=CC2,188.97,,fDE6
ZINCow000004umOI,Plausible hits,-91.637321,-20.06,-96.91,[Na+].CN(C)C(=O)C1CCCC(C1)NS(=O)(=O)C=2C=C(Cl)C=C(Cl)C2[O-],NA,,umOI
ZINCpH000009Xgil,Plausible hits,-91.61692,-11.75,-157.01,[Na+].CCOC=1C=CC(NS(=O)(=O)C=2C=CC=C(Cl)C2[O-])=C3N=CC=CC13,18.2,,Xgil
ZINCph00000fKZ0z,Plausible hits,-91.612503,-16.77,-207.52,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCC=2C=CC=3OC(C)(C)OC3C2,194.21,,KZ0z
ZINCpL00000d1cyQ,Plausible hits,-91.612106,-13.85,-171.38,[Na+].CC(C)OC=1C=CC(NS(=O)(=O)C=2C=C(Cl)C=C(Cl)C2[O-])=CC1C#N,40.39,,1cyQ
ZINCox000008imX4,Plausible hits,-91.553947,-12.24,-139.68,[Na+].CCOC(=O)C1=CSC(=N1)C(C)NS(=O)(=O)C=2C=CC=C(Cl)C2[O-],97.48,,imX4
ZINCps00000bYqC1,Plausible hits,-91.536057,-10.35,-277.54,[Na+].COC(=O)C(CC=1C=CC(F)=CC1)NS(=O)(=O)C=2C=CC=C(Cl)C2[O-],240.1,,YqC1
ZINCmo00000836OE,Plausible hits,-91.523972,-14.08,-209.75,[Na+].NC(=O)C1=CC=C(CNS(=O)(=O)C=2C=C(Cl)C=C(Cl)C2[O-])O1,NA,,36OE
ZINCoH000005YvzS,Plausible hits,-91.519318,-13.12,-171.83,[Na+].[O-]C=1C(Cl)=CC=CC1S(=O)(=O)NC=2C=CC(F)=CC2OCC3CC3,6.02,5.41,YvzS
ZINCpm00000drQg4,Plausible hits,-91.497437,-12.26,-214.81,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC2CC(C)(C)OC=3C=CC=CC23,5.61,5.3,rQg4
ZINCpG000005WuJh,Plausible hits,-91.471512,-13.46,-165.85,[Na+].COC(=O)C=1C=C(CNS(=O)(=O)C=2C=C(Cl)C=C(Cl)C2[O-])C=CC1Cl,66.91,,WuJh
ZINCnl00000maGe1,Plausible hits,-91.444221,-12.23,-124.61,[Na+].COC(=O)C(CC1=CN=CS1)NS(=O)(=O)C=2C=CC=C(Cl)C2[O-],NA,,aGe1
ZINCpo00000sZ2PA,Plausible hits,-91.440384,-10.59,-176.53,[Na+].CCOC(=O)C(CC=1C=CC=CN1)NS(=O)(=O)C=2C=CC=C(Cl)C2[O-],NA,,Z2PA
ZINCtw000007R3Zs,Plausible hits,-91.397446,-12.63,-233.29,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC(CC=2C=CC=C(F)C2)C=3C=CC=C(F)C3,NA,,R3Zs
ZINCpE0000067aZR,Plausible hits,-91.386391,-13.75,-138.03,[Na+].CC(CC(=O)N)C=1C=CC(NS(=O)(=O)C=2C=C(Cl)C=C(Cl)C2[O-])=CC1,66.22,,7aZR
ZINCow0000047KHV,Plausible hits,-91.362335,-11.2,-121.37,CC(NS(=O)(=O)C=1C=NN(C)C1C(=O)O)C=2C(Cl)=CC=C(F)C2Cl,230.35,,7KHV
ZINCpK00000bTNbV,Plausible hits,-91.354141,-12.85,-130.5,[Na+].[O-]C=1C(Cl)=CC=CC1S(=O)(=O)NC2=NC=C(CC=3C=CC=CC3F)S2,NA,,TNbV
ZINCng000001azSg,Likely artifacts,-91.33651,-3.38,-203.1,CCCC(=O)NNS(=O)(=O)C=1C=CC(=CC1)S(=O)(=O)C(F)(F)F,NA,,azSg
ZINCjs000005GWhb,Plausible hits,-91.322136,-13.7,-70.27,[Na+].CC(C)(CCNS(=O)(=O)C=1C=CC=C(Cl)C1[O-])C#N,NA,,GWhb
ZINCnh00000bk94D,Plausible hits,-91.316132,-11.17,-237.82,CC(CC=1C=CC=CC1F)NS(=O)(=O)C=2C=NN(C)C2C(=O)O,NA,,k94D
ZINCpu0000077jdD,Plausible hits,-91.296722,-12.98,-157.59,[Na+].CCCOC(=O)C(CC=1C=COC1)NS(=O)(=O)C=2C=CC=C(Cl)C2[O-],170.31,,7jdD
ZINCow000000vkyq,Plausible hits,-91.273827,-12.04,-187.65,[Na+].CS(=O)CC=1C=CC=C(NS(=O)(=O)C=2C=C(F)C=C(F)C2[O-])C1C,NA,,vkyq
ZINCoC000009DsfR,Plausible hits,-91.265694,-14.54,-185.31,[Na+].[O-]C=1C(Cl)=CC(Cl)=CC1S(=O)(=O)NC=2C=NC=C(C2)C=3C=CNN3,44.57,,DsfR
ZINClq000005QYAt,Plausible hits,-91.2584,-11.14,-165.05,[Na+].CCCCC(NS(=O)(=O)C=1C=CC=C(Cl)C1[O-])C(=O)OC,174.58,,QYAt
ZINCmt000005tl5P,Plausible hits,-91.244881,-8.93,-174.87,[Na+].COC(=O)C(CCC(C)C)NS(=O)(=O)C=1C=CC=C(Cl)C1[O-],NA,,tl5P
ZINCj8000002qJ4O,Likely artifacts,-91.243858,-7.92,-155.24,CSCC(=O)NNS(=O)(=O)C=1C=CC(=CC1)[N+](=O)[O-],NA,,qJ4O
ZINCny000002Kvlm,Plausible hits,-91.235718,-13.08,-265.79,[Na+].CC1=NC(=CS1)C2=CC=C(CNS(=O)(=O)C=3C=CC=CC3[O-])O2,NA,,Kvlm
ZINCrn00000ciBYC,Plausible hits,-91.151581,-13.02,-175.88,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCC=2C=CN=C(OC3CCCCC3)C2,NA,,iBYC
ZINCoA000003HOIw,Plausible hits,-91.148193,-12.67,-153.14,[Na+].CC1=NC(=CS1)C2=CC=C(CNS(=O)(=O)C=3C=C(F)C=CC3[O-])O2,NA,,HOIw
ZINCpt000000eBHB,Plausible hits,-91.065292,-10.68,-154.89,[Na+].[O-]C=1C=CC(F)=CC1S(=O)(=O)NC2CCN(C2)C=3C(F)=CC=CC3F,NA,,eBHB
ZINCpx000000GaLU,Likely artifacts,-91.061234,-13.75,-426.59,[Na+].CC(CC=1C=CC(NS(=O)(=O)C=2C=C(F)C=C(F)C2[O-])=CC1)C(=O)O,NA,,GaLU
ZINCmw000006eWzg,Plausible hits,-91.030731,-12.91,-166.6,[Na+].COCCC(NS(=O)(=O)C=1C=CC=C(Cl)C1[O-])C2=CC=CO2,66.82,,eWzg
ZINCrj00000hjZda,Plausible hits,-91.011879,-11.8,-279.06,CCOCC(CC=1C=CC(F)=CC1F)NS(=O)(=O)C=2C=NN(C)C2C(=O)O,NA,,jZda
