ZINC ID,compound_ID,% bound 3[H]-LSD @ 10uM (mean),% bound 3[H]-LSD @ 10uM (SEM),DOCK score,TC to known,SMILES
ZINCjh0000032Mcf,Z3017776552,104.1,11.74,-45.394836,0.314286,Cc1n[nH]cc1CCCNC(=O)[C@@H]1CC[C@@H](C)CN1
ZINCkm00000dIKAw,Z2228878177,104,5.957,-45.578804,0.310811,C[C@@H]1CCN(CC(=O)NCc2ccc([C@@H](C)O)cc2)C1
ZINClA000002pvZ8,Z5247693276,103.5,13.73,-45.821224,0.263889,Oc1ncc(Br)cc1CN1CCCN(C2CCCC2)CC1
ZINClj000007KM8v,Z3395063147,103.3,4.728,-45.871754,0.285714,CC(C)Cn1cc(CN2CC[C@@](O)(c3cc[nH]n3)C2)cn1
ZINCoz000003zCnL,Z2444863744,103.3,7.873,-46.195717,0.313433,O[C@H](CN[C@@H]1c2ccccc2C[C@@H]1O)c1ccccc1C(F)(F)F
ZINCkw000004muaW,Z3323299127,102.8,8.248,-45.072502,0.276923,FC1(F)CCCC[C@@H]1CN1CCO[C@@H](c2cc[nH]n2)C1
ZINCnu000004oCfU,Z5247692514,101.8,10.32,-45.886803,0.255814,C=CCCN1CC[C@@H](N(CCC)C(=O)c2n[nH]c3c2CCC3)C1
ZINCj5000002dXKw,Z3323706860,101.3,6.632,-48.551971,0.298507,C[C@H](C(=O)NC1CC1)N1CC[C@@](O)(c2cc[nH]n2)C1
ZINCnt0000010Pjt,Z2950993610,101.3,8.207,-47.399178,0.301205,COC(=O)c1ccc(CN2CCC[C@@H]2[C@@H](C)O)c2ncccc12
ZINCio000001YAKY,Z3623233169,101.3,10.16,-45.78334,0.311475,CC[C@@H](C(=O)NCc1ccc(Cl)c(N)c1)N(C)C
ZINCkl00000dGxrG,Z4039757018,100.7,5.426,-44.703453,0.272727,CN(C)Cc1ccoc1C(=O)N1CCCC[C@@H](CO)C1
ZINCnD000001u5CQ,Z5247693764,100.6,4.352,-46.166885,0.298507,C[C@@H]1CN(Cc2c[nH]nc2-c2ccc(Cl)cc2)CCN1C1CC1
ZINCoz000006ZyZZ,Z4075214761,100.2,11.11,-48.057976,0.329114,CCOc1ccc(C(C)=O)cc1CN1CCN(C23CC(C2)C3)CC1
ZINCmv000004ikGm,Z989735430,100.2,12.83,-45.580559,0.315789,Cc1ccccc1NC(=O)CN1CCC(c2cc[nH]n2)CC1
ZINCpv000000be3T,Z5247694525,100.1,2.217,-48.413422,0.337838,O=C(CN1CC[C@](O)(c2cccc(C(F)(F)F)c2)C1)NCC1CCC1
ZINClk00000e97iW,Z4285596112,99.78,3.985,-45.5574,0.319444,CCN1CCC[C@H]1C(=O)N1Cc2ccccc2C[C@@H]1CO
ZINCmd00000aJZJY,Z2998708285,99.06,8.853,-44.488785,0.293103,Oc1ccc2c(c1)CC[C@@H](NC[C@@H](O)C1(O)CCOCC1)C2
ZINCmx000004op31,Z4470984180,99.02,1.816,-47.509125,0.3,CN1CC=C(CC(=O)N2CCCCc3c(O)cccc32)CC1
ZINClA000002eezh,Z5247693273,98.83,7.649,-44.634571,0.258065,CC(C)c1ccc(O)c(CN2CCN3C[C@H](C)C[C@H]3C2)c1
ZINCoC000000MYAL,Z3790412826,98.8,5.275,-44.937412,0.241379,C[C@](O)(CN[C@H]1CC[C@H](c2nc[nH]n2)CC1)c1ccc(Br)cc1F
ZINCnw0000029Nts,Z3395063667,98.77,10.45,-45.943207,0.333333,O[C@@]1(c2cc[nH]n2)CCN(Cc2cc(C(F)(F)F)ccc2F)C1
ZINCkh0000053UuN,Z1978432644,98.46,7.053,-48.298824,0.289855,C[C@@H](C(=O)NCCCc1nc[nH]n1)N1CCCCCC1
ZINCm5000007bMpg,WXCD00110028_SB0201_SC0003,98.42,3.578,-45.73822,0.328125,O=C(CN1CCCC1)N[C@@H]1[C@@H]2CN(C(=O)c3cc[nH]n3)C[C@@H]21
ZINCnr000000lKuj,Z1565698487,98.21,6.244,-44.476341,0.333333,CCOC(=O)c1n[nH]cc1CN1CCN(CCC(C)(C)C)CC1
ZINCnu000001pv6I,Z5212381132,97.84,7.577,-46.428856,0.323944,C[P@@]1(=O)C[C@@H](O)[C@@H](N2CCC[C@@H](c3c[nH]c4ncccc34)C2)C1
ZINChn00000cTyFp,Z4445054957,97.74,2.968,-45.930641,0.301587,C=C(Cl)[C@H](O)CN1CCC[C@@H](c2cc[nH]n2)C1
ZINCn800000c2oQH,Z4303170406,97.38,12.2,-45.032066,0.223684,C[C@H]1CN(C2CC2)C[C@H]1NC(=O)CCn1cc(Br)c(O)nc1=O
ZINCjd000002GhHX,Z2605749109,97.18,3.929,-44.83342,0.396825,CC(C)NCC(=O)NCc1ccc2c(c1)CC(=O)N2
ZINCjA000003yOCQ,Z4113299449,97.11,6.938,-45.262714,0.232143,C=CC1CC(N[C@@H](c2ccccc2)c2cnc[nH]2)C1
ZINCoB000005uyZy,Z2008994088,96.83,10.04,-45.929039,0.307692,C[C@@H](Cn1cccn1)NCc1c[nH]nc1-c1cc2ccccc2o1
ZINCmk000001HaCd,Z2863047725,96.77,9.087,-44.883896,0.297297,COC(=O)Nc1ccc(CNC(=O)CN2C[C@H]3C[C@H]3C2)cc1
ZINCne00000c9hAM,Z4771542289,96.55,4.15,-45.276005,0.317073,CC[C@@H]1CCCN(CC(=O)N[C@H]2CCc3nnc(O)cc3C2)C1
ZINCnr000007NX60,Z4184185757,96.22,5.539,-50.580421,0.306667,COc1ccc(O)c(C[C@@H](C)NC(=O)CN2CCC(C)(C)C2)c1
ZINCjq000002uC59,WXVL_AN0632QS1824,96.1,1.415,-44.451424,0.338462,COC(=O)c1ccc(CN2CC[C@](C)(O)C2)c(Cl)c1
ZINCkp00000akEPJ,Z4079769557,96.04,10.15,-48.668423,0.308824,Oc1ccc(Cl)c(Cn2cc(C[C@@H]3CCCN3)nn2)c1
ZINCjn000003B7dm,Z2091932403,95.71,5.188,-44.920815,0.276923,CCCN(CCN1CCCCC1)C(=O)c1cnc[nH]1
ZINCmD000001ySbt,Z1565343039,95.4,23.44,-46.770546,0.318182,C=CCOc1ccccc1CN1CCC[C@@H](c2cc[nH]n2)C1
ZINCkr000000gXBp,Z4058064490,94.62,14.87,-44.459244,0.307692,C[C@H](NC1CC1)C(=O)Nc1cccc(-c2cn[nH]c2)c1
ZINCpr00000a3PAW,Z5247692656,94.54,2.426,-45.321671,0.216867,C[C@H](O)c1nc([C@@H]2CCN(C3CCCCC3)C2)n(-c2cnn(C)c2)n1
ZINCmC000001p7kl,Z3519443077,94.45,7.174,-46.414455,0.318182,COC(=O)c1ccc(CN2CC[C@@H](c3ccon3)C2)c(Br)c1
ZINCnw000006C9s7,Z4193639936,94.08,10.11,-44.687313,0.25,O=C1CCC2(CC1)CC[C@H](CN1CCC[C@@H](c3cc[nH]n3)C1)O2
ZINCmA000000Pjcn,Z2171657289,93.35,8.319,-45.534344,0.257576,CCOCc1nc([C@@H](C)N[C@H](C)Cc2ccccc2F)no1
ZINCmE000001XtiZ,Z3777234997,93.35,7.255,-48.259628,0.351351,C[C@H](O)c1ccc(-c2cccc(CN3CCC[C@H](O)C3)c2)s1
ZINCnw00000aCCi4,Z3317052797,93.12,8.215,-45.245556,0.328947,c1ncc(CC2CCN(CCCOC[C@@H]3CCCCO3)CC2)[nH]1
ZINCki000005cEEN,Z2471149838,92.49,14.49,-46.508949,0.282051,Cc1n[nH]cc1CCCNC(=O)[C@@H]1CC[C@H](C2CC2)N1
ZINCkp00000dP0vk,Z3776014696,92.26,14.48,-45.474972,0.261538,Nc1ccc(Br)c(CN2CCN([C@H]3CCOC3)CC2)c1
ZINCnu000006s9Nq,Z4591750784,92.21,7.765,-49.485622,0.278481,Cc1n[nH]c(C)c1CCCNC(=O)[C@@H]1CC[C@@H](C(C)(C)C)CN1
ZINCmb000007AMKb,Z4193940859,92.18,6.45,-44.528301,0.305085,O[C@H](CN1CCN(Cc2cn[nH]c2)CC1)Cn1cc(Br)cn1
ZINCmC000003jKs7,WXVL_AN0290QS0514,91.91,2.084,-44.807465,0.322034,Oc1ccc(CN2CCN(C3CCC3)CC2)c2ccccc12
ZINCnB000000In31,Z3317054649,91.71,12.11,-45.239914,0.269231,CCCCc1noc([C@H](C)N2CCC(Cc3cnc[nH]3)CC2)n1
ZINCpx000006VfaZ,WXVL_AK2766TA0282,91.51,5.326,-47.093521,0.305085,C[C@@H](CN1C(=O)c2ccccc2C1=O)NC[C@@H](C)c1ccc(O)cc1
ZINCjh000002ZCnF,Z3317053748,91.17,3.646,-45.303276,0.289855,CCN(C)C(=O)CN1CCC(Cc2cnc[nH]2)CC1
ZINCme000000Zlav,Z5247693340,90.74,13.31,-44.272263,0.269231,OCCO[C@H]1CCN(C2=NC[C@@H]3Cc4ccccc4CN23)C1
ZINCnA000000pP8t,Z4057948093,90.07,10.51,-45.754757,0.293103,CCSC[C@H](N)C(=O)Nc1cc(Cc2ccccc2)ccc1O
ZINCmk000001IBt0,Z1568364427,89.95,5.614,-45.886902,0.345455,COc1cccc(O)c1CN1CCN([C@H]2CCC[C@H]2O)CC1
ZINCko00000hBlpd,Z4471005119,89.73,3.863,-45.739159,0.274194,O=C1CCc2ccc(NC(=O)[C@@H]3C4CCN3CC4)cc21
ZINCnB000005dHBB,Z5247693805,89.34,12.43,-48.217232,0.287879,CC(C)CC[C@@H](C)N1CCC[C@@H](n2c(O)nc3cccnc32)C1
ZINCks000003qlUp,Z4255386511,89.22,3.818,-46.244007,0.296875,NC(=O)[C@H](NCCCc1cccc(O)c1)c1cccs1
ZINClj00000e7W3i,Z4261520744,88.87,11.32,-46.005039,0.305556,C[C@@H]1CCCN1CC(=O)N1CC(c2n[nH]c3c2CCC3)C1
ZINCkl00000cyxQx,WXVL_AN4224QS1842,88.62,4.68,-45.107853,0.242424,c1ncc2c(CN3CC[C@H](N4CCCC4)C3)cnc-2[nH]1
ZINCns000006hCT1,Z3384857127,87.84,2.786,-48.357971,0.339286,CN[C@H](Cc1ccccc1)C(=O)N[C@@H](C)Cc1ccc(O)cc1
ZINCnt000006kNj3,Z2656479952,87.73,6.117,-44.250481,0.285714,CC(C)c1ccc([C@@H](C)NC(=O)[C@@H](N)Cc2ncccn2)cc1
ZINCli00000jAmE3,Z4245339465,87.15,2.232,-46.505184,0.25,CN(CC(=O)NCC(F)(F)c1n[nH]c2c1CCC2)C1CC1
ZINCnr000006etUT,Z4210675526,86.95,5.972,-44.787926,0.292308,C[C@@H]1C[C@@]12NC(=O)N(C[C@@H](c1ccccc1)N1CCCC1)C2=O
ZINCkB000001Tmc1,Z5247693173,86.78,16.06,-47.028545,0.25,Cc1c(Br)ccc(O)c1CN1CCN(C2CC2)[C@H](C)C1
ZINClE0000038WPo,Z3388118837,86.68,7.467,-46.811901,0.26087,Cc1nc([C@@H]2CCCN([C@@H]3CCC4(CCCC4)C3)C2)n[nH]1
ZINCnr000005WUm9,WXVL_AN3729QS2070,86.45,5.07,-44.232456,0.295082,C#CCN1CCN(Cc2c[nH]nc2-c2cc(F)cc(F)c2)CC1
ZINCow000000woKM,Z1666155628,85.31,7.947,-46.292782,0.271429,Cc1ccc([C@@H](C)N[C@@H](Cc2ccccc2)C(N)=O)cc1[N+](=O)[O-]
ZINCmt000005o54c,Z4266962922,85.12,3.075,-44.880028,0.216667,CC(C)c1n[nH]c(CC2CCN(CC34CC(CO3)C4)CC2)n1
ZINCnu000001mHzT,Z3317052990,84.58,6.108,-45.351772,0.363636,COc1cccc([C@H](O)CN2CCC(Cc3cnc[nH]3)CC2)c1
ZINCnh00000jLibC,Z5247692448,83.98,7.777,-45.298229,0.244444,CN(C)C(C)(C)C(=O)N[C@H]1C[C@@H]1CNC(=O)C=Cc1cncs1
ZINClE000003aWWN,Z1255618617,82.97,9.112,-44.848553,0.333333,c1ccc2c(c1)CC[C@@H]2N(CCCc1cn[nH]c1)C1CC1
ZINCko00000dMzrJ,Z3359224473,82.41,11.44,-46.125229,0.271186,C[C@H](N[C@H](C)Cc1ccc(O)cc1)C1(O)CCOCC1
ZINCnx000002oiJB,Z821834546,81.56,9.799,-45.381096,0.338462,Cc1cc(C(=O)CN2CCN(CCc3cccs3)CC2)c(C)[nH]1
ZINCkt000000wqql,Z2440063908,80.64,1.723,-46.777294,0.294872,CC1CCN(CC(=O)Nc2ccc3c(c2)CCN3)CC1
ZINCls000000vLLP,Z3380892834,80.13,6.316,-45.973846,0.285714,CN(Cc1ccccc1O)C(=O)C[C@@H]1CC2(CCC2)CN1
ZINCoC000000Eaa8,Z5247692566,79.6,11.65,-49.058067,0.375,CC1(C)CCO[C@H]1CN1CCOC[C@H]1Cc1c[nH]c2ccccc12
ZINCnz000000jF0k,Z3055532518,78.29,4.024,-45.731079,0.323077,O=C([C@H]1C[C@H]2CCCCN2C1)N1CCCCc2cc(O)ccc21
ZINCkj00000hafO0,Z4214491532,77.9,2.993,-46.339027,0.229508,CC1=C(Br)CN(C(=O)c2[nH]nnc2[C@@H]2CCNC2)CC1
ZINCly000001Uhoe,Z2629683785,77.43,5.508,-45.444862,0.254237,C[C@H](Cc1ccc(O)cc1)NCC1(O)CCC(F)(F)CC1
ZINCnA000005b3N5,Z4390313096,77.43,8.956,-44.73616,0.347826,COc1ccc(CN[C@H](C)Cc2ccc(O)cc2)c([N+](=O)[O-])c1
ZINCjs000002K0Pd,Z1997799854,76.95,22.86,-45.433544,0.295775,C[C@H](CCc1ccc(O)cc1)NCC1([S@@](C)=O)CC1
ZINCmo0000082GE0,Z5247693439,76.5,0.8358,-45.526073,0.28125,Cc1ccc(F)c(O)c1CN1CCN([C@@H]2CCC[C@@H]2O)CC1
ZINCml000001Ut69,Z2950280771,76.46,7.884,-45.537468,0.323529,Cc1cccc([C@H](O)CN2CCN(Cc3cn[nH]c3)CC2)c1
ZINCki0000059c37,Z3800669714,76.07,3.633,-44.875881,0.277778,CCc1ncc(CN2CCN(C[C@@H]3CCCO3)CC2)[nH]1
ZINCms000005eM5M,Z4275936496,75.84,3.59,-49.341995,0.34375,C[C@@H](C(=O)NCC(F)(F)F)N1CC[C@@H](c2cccc(O)c2)C1
ZINClk00000jWw0J,Z4485837911,75.24,9.406,-46.527176,0.320755,O=C(N[C@H]1CCc2cc(O)ccc2C1)[C@@H]1C2CCN1CC2
ZINCjm000003tJAb,Z2828280684,74.92,12.17,-45.322456,0.268657,CC(C)[C@@H](C(=O)NCc1cc(N)cc(F)c1)N(C)C
ZINCox000000LB1q,Z2792386964,74.85,7.398,-45.379574,0.316667,C[C@@H]1CN(Cc2ccccc2)CC[C@@H]1N(C)c1cc(Cl)nnc1O
ZINCjE000003V1Wf,Z3877973412,74.8,14.73,-44.527699,0.229508,CC(C)c1cc([C@@H]2CCCN(C3CC=CC3)C2)n[nH]1
ZINClD000002X78Q,Z2945906816,74.68,7.094,-47.992786,0.292308,Cc1ccc(F)c(CN2CCC[C@@H](c3cc[nH]n3)C2)c1F
ZINCnx000002ul1H,Z5247692510,74.5,15.57,-48.075203,0.333333,O[C@H](CNCCc1c[nH]c2cc(F)cc(F)c12)c1cccnc1
ZINCny000002LCyh,Z5247694062,74.32,7.938,-46.720284,0.338462,Fc1cccc(-c2n[nH]cc2CN2CCN(C3CCC3)CC2)c1
ZINCjr000005GzDN,Z4276296588,74.26,10.15,-47.153629,0.36,Oc1cccc(C[C@H]2CCN(CC3(O)CCC3)C2)c1
ZINCow000000BaXf,Z5247692633,74.08,5.665,-45.326183,0.246377,O[C@H]1c2ccccc2OC[C@@H]1NCc1cccc(-c2cn[nH]c2)c1
ZINCnv0000062kzM,WXVL_AN2312QS0678,74.03,2.225,-49.514896,0.301205,Clc1c[nH]c2nccc-2c1CN1CCN(C[C@@H]2CCCO2)CC1
ZINCkE000004GjgI,Z4404397240,73.71,4.923,-45.216991,0.241935,C[C@@H](Cc1ccoc1)NCC(C)(C)c1ccc(O)cc1
ZINCnu000001jGpV,Z2102938040,73.39,8.397,-44.582073,0.333333,COC(=O)Cc1ccccc1CN1CC[C@H](N2CCCC2)[C@H]1C
ZINCms000003Rntc,WXVL_AN6969QS1064,72.87,2.393,-45.80822,0.305556,CN(C1CN(Cc2c[nH]c3ncc(Br)cc23)C1)[C@H]1CCOC1
ZINCnp00000oKYVc,Z5247692456,72.46,1.861,-47.098206,0.222222,CN(Cc1cc(Br)cs1)C(=O)COC(=O)[C@]1(C)CCNC(=O)C1
ZINCoA000000xc4h,Z2839606174,72.15,5.512,-44.619724,0.338983,Oc1ccc(CN2CCN(C[C@H]3CCC4(CCCC4)O3)CC2)cc1
ZINCnC000007c5D6,Z4215446361,72.06,20.67,-44.985123,0.343284,COc1cccc(CN2CC[C@@H](c3ccc(O)cc3)C2)c1C#N
ZINCpz000000icn7,Z3816129095,72.05,7.774,-45.565372,0.346667,Cc1ccc2[nH]cc(Cc3nc([C@@H]4CN5CCC[C@@H]5CO4)no3)c2c1
ZINCjx000003hNSQ,Z2877147889,71.23,2.355,-44.240463,0.268293,CCc1ccc(CN2CC[C@@H](c3n[nH]c(C)n3)C2)s1
ZINCnx000002djOr,Z2951704214,71.08,17.52,-52.730022,0.324324,CCCC[C@@H](C(N)=O)N1CCC[C@@H](c2c[nH]c3ncccc23)C1
ZINCmo00000dTJuJ,Z5247692363,70.37,3.326,-44.357693,0.307692,O=C([C@@H]1[C@H]2CCCCN[C@H]21)N1CCCc2ccc(CO)cc21
ZINCly000001UN0u,Z5247693270,70.15,8.263,-44.479561,0.246575,C[C@H]1C[C@@H]2CN(Cc3c(F)ccc4[nH]ccc34)CCN2C1
ZINCnC000005jzPx,Z1568863482,69.43,9.038,-46.694534,0.310345,COC(=O)c1ccccc1CN(C)[C@@H](C)Cc1ccc(O)cc1
ZINCnx000002gojC,Z3874868579,68.93,2.144,-44.605461,0.353659,CCc1ccc([N+](=O)[O-])cc1C(=O)O[C@H]1CCN(CCCF)C1
ZINCkv000000V6Xm,Z2589934375,68.74,2.163,-45.135303,0.296875,COc1cccc(F)c1CN[C@H](C)Cc1cc(C)[nH]n1
ZINCky000003BM7s,Z2406430766,68.4,9.502,-44.478409,0.333333,C[C@@H](Cc1ccc(O)cc1)NC[C@@H](O)CC1CCCC1
ZINCkr000003nvC4,Z4594129860,67.21,10.17,-44.390503,0.315789,COC[C@@H](C)N1CCN(Cc2cc(N)ccc2Br)CC1
ZINCmp000002vdIx,Z3600337919,65.77,24.76,-45.7089,0.346667,CCN(CC(=O)NCC(=O)c1c[nH]c2ccccc12)C1CC1
ZINCmy000006BTDZ,Z3522569380,64.87,8.058,-44.60421,0.293103,CC1(C)CN[C@@H](CC(=O)N2CCc3cc(O)c(Br)cc3C2)C1
ZINCpn00000dT4dK,WXVL_AN2312QS1036,64.53,6.009,-45.124458,0.310345,O=[N+]([O-])c1ccc2[nH]nc(CN3CCN(C[C@H]4CCCO4)CC3)c2c1
ZINCow000000uHC7,Z3314342358,64.25,3.947,-46.429016,0.306452,C[C@H](c1cn(-c2ccccc2)nn1)N1CC[C@@H](c2cnccn2)C1
ZINCmw000006jhP7,Z4486711277,64.23,3.762,-46.176903,0.366667,O=C(NCCc1c[nH]c2cccc(Br)c12)[C@@H]1C2CCN1CC2
ZINCnB000006RaOV,Z4621308392,63.87,10.38,-47.102066,0.235294,COC1(OC)CC[C@@H]1CN1CCC[C@@H](c2cc(C(C)C)[nH]n2)C1
ZINCmA000003tiIE,Z4289405420,63.64,12.63,-47.284508,0.25,CCCN(Cc1ccccc1O)C(=O)[C@@H]1CCC[C@H](CC)N1
ZINCnx000002mwD5,Z5247694018,63.63,1.91,-44.295059,0.315789,C[C@@H]1C[C@@H]2CN([C@H](C)C(=O)c3c[nH]c4ccccc34)CCN2C1
ZINCmw000004l6pP,Z4312895798,63.54,2.935,-44.266846,0.31746,COc1cc([C@H](C)O)cc(OC)c1OC[C@@H](C)N1CCCC1
ZINCny0000065qiD,WXVL_AK1883TA0039,63.2,3.053,-44.669655,0.293103,OC[C@@H](Cc1ccc(O)cc1)NC1CCc2ccccc2CC1
ZINCnw000001UOmx,Z1327476378,62.96,11.26,-45.506115,0.324675,CCOc1ccc([N+](=O)[O-])cc1CN1CCN(C2CCC2)CC1
ZINCnC000005jlaB,Z5247693811,59.32,12.07,-44.273609,0.24359,CN(CCC(=O)OC(C)(C)C)Cc1cccc(-c2cn[nH]c2)c1
ZINCny000006Lqpy,Z4171258292,59.2,3.222,-46.190582,0.310811,O=C1O[C@@H](CN2CC[C@](O)(c3cccc(Br)c3)C2)CC12CCC2
ZINCml000007TBGM,Z4421719114,58.49,4.4,-46.210072,0.295775,C[C@H]1OCCN[C@@H]1C(=O)NCc1ccc2cc(O)ccc2c1
ZINCkA000001JWU2,Z2878253550,57.4,8.16,-44.260719,0.258065,C[C@H](Cc1ccc(O)cc1)N[C@@H]1COC2(CCCC2)C1
ZINCoE000002MqFD,Z2876442907,57.21,9.292,-46.151611,0.366667,CCOC(=O)c1cnc(CNCCc2c[nH]c3cccc(C)c23)s1
ZINCow000000B6Cr,Z3801294404,57.08,15.58,-46.325443,0.285714,OC1(CNCc2cccc(-c3cn[nH]c3)c2)Cc2ccccc2C1
ZINCiz000004L7Qo,Z4255244733,55.79,6.215,-44.39299,0.229508,CN=c1nc(C[C@H](C)N[C@@H](C)c2cccs2)[nH]s1
ZINCkl000005CNRt,Z4057113220,54.82,4.759,-44.690815,0.289855,O=C(NCCCc1ccc(O)cc1)[C@@H]1CC[C@@H](F)CN1
