ZINC ID,compound_ID,DOCK score,Global rank,Tc to knowns,Ki (uM),SMILES,Picking method
ZINCpe00000yMXaL,Z6615187598,-44,115621516,0.311688,NH,COC=1C=CC(=C(C1)C(=O)O)S(=O)(=O)N2CCOCC2C3=CC=NN3,auto
ZINCpg00000BHVoe,Z6615186075,-44,115621676,0.17284,NH,CC1(CC1)C#CC(=O)N2CCCC(C)(C2)NC(=O)C=3C=NN=CC3O,auto
ZINCpg00000DaEq6,Z6615025427,-44,115621701,0.231884,NH,OC=1C=CC(=CC1Br)C(=O)NCC2CC(C2)NC(=O)CN3C=NC=N3,auto
ZINCnz000000bgla,Z6615025421,-44,115621846,0.314286,NH,COC=1SC=CC1S(=O)(=O)NC(=O)C=2C=CC(F)=C(C2)C(F)F,auto
ZINCpr000004NDGO,Z6615025431,-44,115622084,0.25974,NH,COC=1N=CC(=CC1Br)C(=O)NS(=O)(=O)C=2C=C(C)C=CC2[N+](=O)[O-],auto
ZINCpr000004LNwv,Z1463598796,-44,115622093,0.233766,NH,CCOC(=O)NC=1C=CC(=CC1)C(=O)C(C#N)C(=O)C2=NC=CN2C,auto
ZINCnB000000PcqT,Z6615188851,-44,115622165,0.289855,NH,COC=1C=CC(=CC1)[C@H]2C[C@H](C2)NC(=O)C=3C=C(Cl)N=CC3O,auto
ZINCnB000000LLkh,Z3058764542,-44,115622245,0.231884,HB,CCN1N=CC=C1C(C)NC(=O)C=2C=CC(=C(O)C2)C(F)(F)F,auto
ZINCo500000ncZo0,Z6615025265,-44,115622511,0.204819,NH,FC(F)(F)C(=O)NCC(=O)NCC1CN(CCO1)C(=O)CCC#C,auto
ZINCoN00000cVylH,Z3496479877,-44,115622743,0.219512,HB,CC(C)C=1C=C(NC(=O)CSCC=2C=C(ON2)C3CCCC3)ON1,auto
ZINCoO00000cZ4Rs,Z6615025337,-44,115622751,0.1875,NH,CCC=1C=CC=CC1NC2=NN=C(SCC3CC(=NO3)C4CC4)S2,auto
ZINCpu000003mvco,Z6615025457,-44,115623605,0.204545,NH,CCC(C)(C=C)C(=O)NC1CCC(CNC(=O)C=2C=NC=C(O)C2)C1,auto
ZINCpw000000jsg7,Z6615025259,-44,115623778,0.315789,HB,COC(=O)C=1C=C(C(F)=CC1Br)S(=O)(=O)NCC2CCC32CCCO3,auto
ZINCpE000006OLxy,Z3711525997,-44,115624144,0.191176,HB,CC(C)(C)C(=O)NC1=NC(CC(=O)N2C[C@@H]3CCC[C@@H]3C42CC4)=CS1,auto
ZINCq800000d59IZ,Z6615025276,-44,115624615,0.2125,NH,COC(=O)C1CC(CCN1C(=O)CCN2C=CNC(=O)C2=O)C(F)(F)F,auto
ZINCq900000sQR4k,Z6615025309,-44,115624730,0.255814,NH,COCCOC=1C=CC(=CC1)S(=O)(=O)NC(=O)C2CCN3C=NN=C3C2,auto
ZINCgo000001oBbm,Z45653633,-44,115624921,0.325581,NH,O=S(=O)(NC=1C=CN=CC1)C=2C=CC=CC2,auto
ZINCqd00000ghpok,Z6615187475,-44,115625206,0.210526,NH,NC(=O)C1(CCC1)C(=O)N[C@@H]2C[C@H]2NC(=O)C=3C=CC=4OC(S)=NC4C3,auto
ZINCtu000000fKOQ,Z6615025381,-44,115625236,0.208333,NH,CC1CCN(CC1CNC(=O)CNC(=O)C(F)(F)F)C(=O)C(=CC2=CC=CS2)C,auto
ZINCoC000005AqRW,Z3441153443,-36,326403992,0.225,NH,CC1=CC=C(O1)C2=NSC(NC(=O)CC=3C=NN(C3)C(C)(C)C)=N2,auto
ZINCoB000003TTM3,Z6615025767,-36,326404037,0.273973,NH,COC=1N=CC=CC1S(=O)(=O)NC(=O)C=2C=CC=3SC=C(Br)C3C2,auto
ZINCoB000003Nghu,Z2002505638,-36,326404082,0.278481,NH,CCCOC=1C=CC(=CC1)S(=O)(=O)NC(=O)C2CCCC(F)(F)C2,auto
ZINCl500000dQ66R,Z6615189444,-36,326404135,0.276923,NH,COC(=O)[C@@H]1CC[C@@H]1C(=O)NS(=O)(=O)C=2C=CC(=O)NC2,auto
ZINCpG000000XKFG,Z6615042386,-36,326404146,0.287879,NH,CS(=O)(=O)NC=1C=CC=CC1C(=O)N[C@@H]2C[C@H]2C=3C=CC=C(Cl)C3Cl,auto
ZINCp500000lC512,Z6615025582,-36,326404300,0.213333,NH,NC(=O)CSCC(=O)NC1CCN(C(=O)C=2C=CC(O)=CN2)C31CC3,auto
ZINCnz000003HUV6,Z7034822722,-36,326404534,0.223881,NH,[K+].[O-]C(=O)CN(C1CCCC1)C(=O)NCCSC=2C=CC(F)=CC2,auto
ZINCnz000000f6od,Z1250617458,-36,326404663,0.298507,NH,CC=1C=CC(CO)=CC1NS(=O)(=O)C=2C=C(Br)C=C(C2)[N+](=O)[O-],auto
ZINCpr000004LxzE,Z1718106976,-36,326404876,0.298507,NH,CCCCN1C=C(C(=O)NS(=O)(=O)CC=2C=CC(C#N)=CC2)C(C)=N1,auto
ZINCpr000004MLs2,Z2439367831,-36,326404943,0.225,NH,COC(=O)C1CC(O)CN(C1)C(=O)NC2=NC=3C=C(F)C(C)=CC3S2,auto
ZINCpt000002NChY,Z6615025525,-36,326404955,0.309859,NH,COC1=CC=C(S1)S(=O)(=O)NC=2C=C(C=CC2OCC(F)F)C(=O)N,auto
ZINCpt000002KQKA,Z2705833425,-36,326404982,0.226667,NH,CC(C)[C@H]1CN(CC=2C=CC=CC2)CCN1CC(=O)NC3=NN=CS3,auto
ZINCpG000009qmFs,Z6615025791,-36,326405370,0.272727,NH,CC=1C=C(C)C(C(=O)NCC(CC(=O)O)C=2C=CC(Cl)=CC2)=C(C)N1,auto
ZINCp700000gEpkL,Z2289258318,-36,326405548,0.260274,NH,COC=1C=CC=C2CC(COC12)C(=O)NS(=O)(=O)CC3COCCO3,auto
ZINCpb00000umeIA,Z6615025763,-36,326405583,0.223881,NH,CC(NC(=O)C1=NC(C)=NN1C)C(C)(C)NC(=O)C=2C=CC(O)=CN2,auto
ZINCpc00000vt4Ux,Z6615025529,-36,326405704,0.214286,NH,CON=CC(=O)N1CCCC1CNC(=O)CCC(=O)NC2=NC=CS2,auto
ZINCpv000005LFJC,Z4574443016,-36,326405913,0.309859,NH,CN1N=C(C=C1C(=O)NC(CC(=O)O)C=2C(F)=CC=CC2F)C3CC3,auto
ZINCpv000005HR3A,Z2295577097,-36,326405932,0.271429,NH,COCCN(CC(=O)O)C(=O)C1(CC=2C=CC(=CC2)C(F)(F)F)CC1,auto
ZINCpw000005QPOR,Z3589783032,-36,326405959,0.228916,HB,COC=1C=C(F)C(CNC(=O)NC2=NC=3CCOCC3S2)=CC1OC,auto
ZINCpw000000gICd,Z2288079996,-36,326405999,0.307692,NH,CCOC=1C=CC(=C(C)C1)S(=O)(=O)NC(=O)C2=C(C)ON=C2C3CC3,auto
ZINCpw000000qRhw,Z2175591589,-36,326406014,0.322581,HB,FC=1C=CC(CONC(=O)CNS(=O)(=O)C=2C=CC(Cl)=C(Cl)C2)=CC1,auto
ZINCpw000000q1ZR,Z6615025737,-36,326406053,0.291667,NH,CN1C=NC(CCCNS(=O)(=O)C=2C(F)=CC(=CC2Br)C(F)(F)F)=N1,auto
ZINCpx000000xQyt,Z6615393543,-36,326406077,0.2,NH,CCOC(=O)C=1N=NNC1C2CCCN2C(=O)C3CCC(C)C(C)C3,auto
ZINCpx000000zwZO,Z2025699240,-36,326406149,0.433333,HB,CCC=1C=C(NS(=O)(=O)C=2C=C(C=CC2OC)S(=O)(=O)C)C=CC1C,auto
ZINCpE000006514M,Z6615025634,-36,326406313,0.227848,NH,CCC1=NOC(CC(=O)NC2=NC(C3CCCC3)=C(S2)C(=O)OC)C1,auto
ZINCq900000sElCD,Z3009357424,-36,326406662,0.304348,NH,CN(CCN1CCNC(=O)C1)S(=O)(=O)C=2C(O)=CC=CC2OC(F)(F)F,auto
ZINCqb00000wBEoF,Z6615393239,-36,326406769,0.283582,NH,CCOC(=O)[C@@H]1CN(C[C@H]1C(=O)O)C(=O)C(=O)N2CC=CCC(C)(C)C2,auto
ZINCqb00000xN1Nv,Z6615025823,-36,326406789,0.2,NH,CC(C(=O)NCC1(CNC(=O)C=2C=NN=CC2O)CC1)N3C=C(C)C=N3,auto
ZINCtu000000iQyM,Z6615025818,-36,326407014,0.218391,NH,CC1CC(CN1C(=O)C2=CSC(NC(=O)C)=N2)NC(=O)CC=3C=C(Cl)C=CC3O,auto
ZINCou000005C7Aa,Z6615025923,-28,778682840,0.204819,HB,CC=1C=CC=2SC(NC(=O)C3CNC(=O)C=4C=CC=CC34)=NC2N1,auto
