ZINC ID,compound_ID,DOCK score,Global rank,Tc to knowns,Ki (uM),SMILES,Picking method
ZINCog000009fCeN,Z6615019997,-90.34,604,0.411765,NH,CC(NS(=O)(=O)C=1C=NN(C)C1C(=O)O)C=2C=CC=C(C2)[N+](=O)[O-],manual
ZINCpx000000t7yB,Z3805145452,-90.25,637,0.246575,NH,CC=1C=C(C)N(N1)C=2C=CC(=CC2F)C(=O)N(CCC=C)CC(=O)O,auto
ZINCpw000005S8oL,Z6615072286,-90.24,640,0.413793,266.16,CC1=NNC(=C1C(=O)O)S(=O)(=O)NCC=2C=CC(=CC2)C3=CC=CS3,auto
ZINCoG000005ABPc,Z6615020001,-90.23,647,0.45614,HB,CC=1C=CC=C(CC(NS(=O)(=O)C=2C=CC=C(Cl)C2O)C3CC3)C1,auto/manual
ZINCpu000003FK3u,Z6615020009,-90.22,652,0.41791,NH,CC1=C(CNS(=O)(=O)C=2C=NN(C)C2C(=O)O)OC=3C=CC(Br)=CC13,auto/manual
ZINCpm00000dv3Zn,Z6615020015,-90.21,658,0.22093,NH,CN1N=CC(CNC(=O)C2=COC(CN3C=C(Br)C=N3)=C2)=C1C(=O)O,auto/manual
ZINCpt000003Fvtd,Z6615014467,-90.16,684,0.482143,227.22,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCC=2C=CC(=CC2)C3=CC=CS3,auto
ZINCon000009bh1Q,Z6615020022,-90.15,688,0.238806,NH,OC(=O)C1=CON=C1CNC(=O)CCC2=NC(=NO2)C3=CC=CS3,auto/manual
ZINCpH000005Qcoa,Z6615014474,-90.15,690,0.256757,262.06,CC=1SC(NC(=O)C2=CSC(=N2)C=3C=CC=CC3C)=NC1CC(=O)O,auto
ZINCpu000003GY8d,Z4570168821,-90.06,722,0.243243,NH,CC1=NN=C(CC=2C=CC(=CC2)C(=O)N3CCCCCC3C(=O)O)O1,auto
ZINCq800000ckcrv,Z6615014498,-90,747,0.34375,139.72,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCC=2C=CC=CC2CN3C=NC=N3,auto
ZINCoL00000dWJ7Z,Z6615020024,-89.99,750,0.482759,148.43,OC=1C(Cl)=CC=CC1S(=O)(=O)NC(C2=CC=CS2)C=3C=CC=CC3,auto/manual
ZINCoO00000eidon,Z6615020027,-89.97,757,0.444444,17.6,OC=1C(Cl)=CC=CC1S(=O)(=O)NCC(F)(F)C=2C=CC(Cl)=C(Cl)C2,auto/manual
ZINCpO00000fit6P,Z6615020031,-89.94,779,0.448276,NH,OC=1C(Cl)=CC=CC1S(=O)(=O)NC(CCC(F)(F)F)C=2C=CC=CC2,auto/manual
ZINClo00000ks46n,Z4556474285,-89.93,787,0.491228,119.33,CCN1N=NC(Br)=C1CNS(=O)(=O)C=2C=CC=C(Cl)C2O,auto
ZINCpg00000D17DL,Z6615073610,-89.88,804,0.202703,NH,CC=1ON=C(O)C1C(=O)NCC2(O)CN(C2)C(=O)C=3C(Cl)=NSC3Cl,auto
ZINCox000008O53Q,Z6615020040,-89.86,815,0.403509,26.42,OC=1C(Cl)=CC=CC1S(=O)(=O)NC2(CC2)C=3C=CC=4OCOC4C3,auto/manual
ZINCrp00000ciW18,Z6615073830,-89.8,843,0.362319,NH,CC(NS(=O)(=O)C=1C=NN(C)C1C(=O)O)C=2C=CC=3NC(=NC3C2)C4CC4,auto
ZINCol0000097Ab7,Z6615014517,-89.76,864,0.428571,87.69,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC2CCOC=3C(Cl)=CC=CC23,auto
ZINCor000004zMXF,Z6615014525,-89.73,882,0.314286,218.27,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC2(CCC2)C=3C=CC=CC3Cl,auto
ZINCke00000gQi0D,Z6615014531,-89.72,887,0.45614,NH,CC1(CNS(=O)(=O)C=2C=CC=C(Cl)C2O)COC(=O)N1,auto
ZINCoi00000cc4dD,Z6615105592,-89.71,894,0.202899,NH,CC=1ON=C(O)C1C(=O)NCC(C)(C)CNC(=O)C2=CC=CN2C,auto
ZINCpD000007hlRR,Z6615014544,-89.69,909,0.403226,NH,COC(CNS(=O)(=O)C=1C=C(Cl)C=C(Cl)C1O)C=2C=CC(OC)=CC2,auto
ZINCpt000004RsOC,Z6615074667,-89.69,912,0.231707,NH,CCCC1=CC=C(S1)C(=O)N2CCC(C2)NC(=O)C3=C(C)ON=C3O,auto
ZINCpK000006xUJw,Z2940315175,-89.67,918,0.412698,144.32,CC(=O)NC=1C(C)=CC(NS(=O)(=O)C=2C=C(Cl)C=C(Cl)C2O)=CC1C,manual
ZINCoA000003A65Q,Z6615020054,-89.67,920,0.380952,NH,CC(=O)NC=1C=CC(Cl)=C(NS(=O)(=O)C=2C=C(F)C=C(F)C2O)C1,auto/manual
ZINCon00000hT3LD,Z6615122923,-89.66,926,0.5,NH,COC(=O)C1=CC(=NN1)C(C)(C)NS(=O)(=O)C=2C=CC=C(Cl)C2O,manual
ZINCo7000000mIoZ,Z6615014561,-89.64,943,0.223881,NH,CN1C=C(N=N1)C(=O)NNS(=O)(=O)C=2C(F)=C(F)C(F)=C(F)C2F,auto
ZINCo9000009eBwh,Z6615020061,-89.61,962,0.32,NH,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCCC=2N=CC=C(N2)C3CC3,auto/manual
ZINCoh00000aycmV,Z6615074953,-89.57,976,0.25,NH,CCC=1C=CC=NC1C(=O)NCCCNC(=O)C2=C(C)ON=C2O,auto
ZINCpJ000006uXyi,Z2940321111,-89.54,990,0.491525,18.91,COC(=O)NC=1C=CC=C(NS(=O)(=O)C=2C=C(Cl)C=C(Cl)C2O)C1C,manual
ZINCoA0000082GBC,Z6615123106,-89.49,1013,0.459016,NH,C[C@H](COC=1C(F)=CC=CC1F)NS(=O)(=O)C=2C=CC=C(Cl)C2O,auto/manual
ZINCop00000kUBDk,Z2774549939,-89.48,1017,0.473684,287.47,CN1N=CC=C1C2CC(CCO2)NS(=O)(=O)C=3C=CC=C(Cl)C3O,manual
ZINCpz000008YHff,Z6615020093,-89.45,1036,0.460317,NH,OC=1C(Cl)=CC=CC1S(=O)(=O)NC(C=2C=CC=NC2)C=3C=CC=CN3,auto/manual
ZINCpf00000fKDMH,Z6615020095,-89.42,1048,0.349206,NH,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCC=2C=CC=3OC(F)(F)OC3C2,auto/manual
ZINCoi00000cks6g,Z6615014587,-89.4,1060,0.431034,NH,OC(CNS(=O)(=O)C=1C=CC=C(Cl)C1O)CS(=O)(=O)C2=CC=CS2,auto
ZINCpo00000ut3nn,Z6615154133,-89.4,1062,0.473684,NH,O[C@@H](CNS(=O)(=O)C=1C=CC=C(Cl)C1O)C=2C=CC=3OCCOC3C2,auto/manual
ZINCpw000000rQ09,Z3523549303,-89.34,1095,0.407407,183.56,OC(=O)C1(CCCCC1)C(=O)NCC=2C=CC(NC(=O)C3CC3)=CC2,auto
ZINCoh0000098Sgh,Z6615014598,-89.32,1112,0.253012,NH,CC(C(=O)NCC1=NC=CN1CC(=O)O)C=2C=CC=3OCOC3C2,auto
ZINCoN00000e95OH,Z6615020105,-89.29,1129,0.446429,64.32,CCC1CC1(NS(=O)(=O)C=2C=CC=C(Cl)C2O)C=3C=CC(Cl)=CC3,auto/manual
ZINCpi00000dt3Eq,Z6615020109,-89.25,1159,0.2375,127.85,OC(=O)C1=CON=C1CNC(=O)CCC2=NN=CN2C=3C=CC=CC3,auto/manual
ZINCny00000brM2G,Z6615017363,-89.24,1171,0.480769,NH,CC(O)(CNS(=O)(=O)C=1C=CC=C(Cl)C1O)C=2C=CC=C(Cl)C2,auto/manual
ZINCoN00000eb66T,Z6615014610,-89.19,1195,0.472727,1,CC=1C=C(Cl)C(NS(=O)(=O)C=2C=CC=C(Cl)C2O)=C3C=CC=NC13,auto
ZINCpu000002UM1Y,Z6615017371,-89.18,1202,0.301587,NH,CN(C)C(=O)C=1C=C(C)C=C(NS(=O)(=O)C=2C=C(F)C=C(F)C2O)C1,manual
ZINCrw000008vcx8,Z6615014615,-89.14,1230,0.287671,NH,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC(C)(C)CC2=CNC=3C=C(Br)C=CC23,auto
ZINCqz0000079HfX,Z6615014622,-89.09,1260,0.377049,104.82,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC(C2=CC=CS2)C=3C=CC(Cl)=CC3,auto
ZINCo5000009gYOm,Z6615014618,-89.09,1264,0.213333,NH,OC(=O)CN1C=CN=C1CNC(=O)CN2N=NN=C2C=3C=CSC3,auto
ZINCnB000006HzIP,Z6615014630,-89.08,1277,0.4375,97.71,CC(C)(CO)C(NS(=O)(=O)C=1C=CC=C(Cl)C1O)C2=CC=CS2,auto
ZINCoC000009DrFk,Z6615017387,-89.07,1278,0.457627,127.39,OC(CNS(=O)(=O)C=1C=CC=C(Cl)C1O)C2=CC=3C=CC=CC3S2,auto/manual
ZINCnK000008AYQq,Z6615017393,-89,1339,0.444444,HB,CC=1C=CC(Br)=CC1C2(CC2)NS(=O)(=O)C=3C=CC=C(Cl)C3O,auto/manual
ZINCpg00000ChI0z,Z6615014657,-88.94,1369,0.440678,79.67,COC(=O)C(NS(=O)(=O)C=1C=CC=C(Cl)C1O)C2CC(C2)C(=O)OC,auto
ZINCow000007pPpz,Z6615014661,-88.9,1402,0.457627,NH,CCC1=NOC(=N1)C2CCC(C2)NS(=O)(=O)C=3C=CC=C(Cl)C3O,auto
ZINCoF000003N4Sx,Z6615017403,-88.89,1409,0.491228,13.3,COC(=O)C=1C=C(C)C=C(NS(=O)(=O)C=2C=C(Cl)C=C(Cl)C2O)C1,manual
ZINCnj00000bkDy2,Z6615014672,-88.87,1427,0.373134,180.35,CC1=CSC(=N1)C(NS(=O)(=O)C=2C=NN(C)C2C(=O)O)C3CC3,auto
ZINCoe000009ffM3,Z6615014675,-88.86,1428,0.403226,NH,CC(NS(=O)(=O)C=1C=NN(C)C1C(=O)O)C=2C=CC=3OCOC3C2,auto
ZINCoy000005UWvN,Z6615017408,-88.85,1433,0.454545,NH,CC(C)OCC1=NN=C(S1)C(C)NS(=O)(=O)C=2C=CC=C(Cl)C2O,auto/manual
ZINCsp00000gmtvq,Z6615124844,-88.83,1446,0.257576,NH,C[C@H](N1CC(CC1=O)C(=O)NCC=2C=NN(C)C2C(=O)O)C=3C=CC(Cl)=CC3,auto
ZINCpE000000nq3b,Z2234675276,-88.74,1533,0.292308,NH,OC=1C(F)=CC(F)=CC1S(=O)(=O)NC=2C=CC(SC3=NN=CS3)=CC2,manual
ZINCn800000biK4K,Z6615017416,-88.73,1544,0.328358,NH,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC2(CCC2)C=3N=CC=CN3,auto/manual
ZINCpg00000D17KV,Z6615014706,-88.66,1605,0.21978,NH,CN(CCNC(=O)C1=C(C)ON=C1O)C(=O)C(F)(F)C=2C=CC=CN2,auto
ZINCmG000004Z2EV,Z6615014692,-88.66,1615,0.48,25.2,OCC=1C=CC(Cl)=C(Cl)C1NS(=O)(=O)C=2C=CC=C(Cl)C2O,auto
ZINCql00000kMJCZ,Z6615014711,-88.62,1649,0.325,NH,COC=1C=CC=2C(CNS(=O)(=O)C=3C=NN(C)C3C(=O)O)CCCC2C1,auto
ZINCpH000009MPuP,Z6615017422,-88.6,1665,0.492063,3.13,CC1(C)CC(NS(=O)(=O)C=2C=CC=C(Cl)C2O)C=3C=CC(F)=CC3O1,auto/manual
ZINCsq000005PTnT,Z6615017443,-88.54,1728,0.282051,NH,COC=1C=C(C=CC1OCC2=CSC=N2)C(=O)NCC=3C=NN(C)C3C(=O)O,auto/manual
ZINCqo00000kNkXR,Z6615014718,-88.52,1748,0.412698,NH,COCCSC=1C=CC(=CC1)C(C)NS(=O)(=O)C=2C=NN(C)C2C(=O)O,auto
ZINCoM00000cU8Ju,Z6615014721,-88.47,1787,0.40678,HB,CC=1C=C2CCC(NS(=O)(=O)C=3C=C(Cl)C=C(Cl)C3O)C2=C(C)C1,auto
ZINCsv0000066w6Z,Z6615017453,-88.46,1800,0.353846,200.3,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCC=2C=CC(OC=3C=CC=CC3)=CC2F,auto/manual
ZINCnA000000y1xj,Z3510328710,-88.42,1837,0.375,124.84,CC1CC(N1C(=O)CCCCC2=NC=3C=CC=CC3S2)C(=O)O,auto
ZINCov000006QgaK,Z6615017459,-88.42,1839,0.474576,73.48,OC=1C(Cl)=CC=CC1S(=O)(=O)NC=2C=CC(NC(=O)C3CC3)=NC2,manual
ZINCse00000kBZuu,Z6615017467,-88.41,1852,0.424658,NH,COC=1C=CC=CC1C(NS(=O)(=O)C=2C=NN(C)C2C(=O)O)C3=NOC(C)=N3,auto/manual
ZINCpE0000069rqo,Z6615017470,-88.39,1863,0.389831,48.73,OC=1C(Cl)=CC(Cl)=CC1S(=O)(=O)NC=2C=C(C=CC2F)C=3N=CNN3,auto/manual
ZINCpq000005sK4Y,Z6615014739,-88.37,1898,0.328358,270.31,CCC(NS(=O)(=O)C=1C=NN(C)C1C(=O)O)C2=NC(=CS2)C(F)(F)F,auto
ZINCpG0000014tEW,Z6615017473,-88.32,1932,0.285714,HB,CN1N=CC(Cl)=C1C=2C=C(ON2)C(=O)NCC=3C=C(Cl)C=C(Cl)C3O,manual
ZINCop0000098EyS,Z6615014745,-88.26,1998,0.367647,42.71,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC2(CC2)C=3C=C(F)C=C(Br)C3,auto
ZINCpg00000D5L8V,Z6615014748,-88.25,2008,0.491525,109.32,NC(=O)C=1C=CC(NC(=O)CNS(=O)(=O)C=2C=CC=C(Cl)C2O)=CC1,auto
ZINCp900000fJTd0,Z6615014749,-88.22,2041,0.304348,NH,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCC(CO)CC=2C=CC=CC2F,auto
ZINCnt0000097uQi,Z3621468212,-88.22,2045,0.474576,73.84,OC=1C(Cl)=CC=CC1S(=O)(=O)NCC2=CC=NN2C3CC3(F)F,auto/manual
ZINCpj00000hNVAb,Z6615126139,-88.21,2049,0.42623,NH,COC(=O)[C@]1(C[C@](O)(C1)C(F)(F)F)NS(=O)(=O)C=2C=CC=C(Cl)C2O,auto
ZINCmn00000dzoy1,Z6615014758,-88.2,2074,0.430769,108.35,CC1=NOC(CC2(CC2)NS(=O)(=O)C=3C=CC=C(Cl)C3O)=N1,auto
ZINCru000008GOfR,Z6615014768,-88.18,2099,0.272727,NH,CCOC=1C=CC(=CC1)C2(CC2(Cl)Cl)C(=O)NCC3=NC=CN3CC(=O)O,auto
ZINCrx000008gj2b,Z6615017490,-88.16,2119,0.276316,446.04,CN1N=CC(CNC(=O)CCC2=NC=C(O2)C=3C=CC=CC3Br)=C1C(=O)O,auto/manual
ZINCny00000bwi3N,Z6615017493,-88.14,2153,0.491228,158.97,OC(CNS(=O)(=O)C=1C=CC=C(Cl)C1O)C=2C(F)=CC=CC2Cl,auto/manual
ZINCpx000006UUf3,Z2940324266,-88.13,2157,0.424242,NH,COC(=O)C(CC=1C=CC=CC1)NS(=O)(=O)C=2C=C(Cl)C=C(Cl)C2O,auto/manual
ZINCpv000005MXhA,Z1739088644,-88.11,2172,0.298507,NH,OC(=O)CN(CC=1C=CC(F)=CC1)S(=O)(=O)C=2C=CC=3CCCC3C2,auto
ZINCma00000a4pgD,Z6615126504,-88.1,2199,0.285714,NH,OC(=O)[C@@H]1C[C@H]1CS(=O)(=O)NCC2=CN=C(S2)N3C=CC=N3,auto
ZINCpt000000bVzx,Z6615017507,-88.08,2212,0.491228,178.46,CC=1OC(C)=C(C1C(=O)O)S(=O)(=O)NCC(O)C=2C(F)=CC=CC2Cl,auto/manual
ZINCnO00000dMi90,Z6615017509,-88.08,2216,0.490566,0.86,CC1=NC=2C=C(Cl)C(NS(=O)(=O)C=3C=CC=C(Cl)C3O)=CC2S1,auto/manual
ZINCox000000BUpb,Z6615017516,-88.03,2262,0.387097,NH,CC(=O)NC=1C=CC=C(NS(=O)(=O)C=2C=C(F)C=C(F)C2O)C1C,manual
ZINCnf00000cctsP,Z6615014802,-88.01,2289,0.333333,NH,OC(CNS(=O)(=O)C=1C=C(Cl)C=C(Cl)C1O)CN2CCCC2=O,auto
ZINCou000005jxow,Z6615022476,-87.99,2305,0.446429,234.49,COC(=O)C1(CC(C1)C2CCC2)NS(=O)(=O)C=3C=CC=C(Cl)C3O,auto
ZINCog000009kcPP,Z6615022480,-87.96,2351,0.211765,NH,CC1=NN(C(F)F)C(C)=C1CC(=O)NCC2=NC=CN2CC(=O)O,auto
ZINCpG000009xP5O,Z2234667624,-87.93,2385,0.472727,16.64,OC=1C(Cl)=CC=CC1S(=O)(=O)NC=2C=C(C=CC2Cl)N3CCCC3=O,auto/manual
ZINCpI000005Qhfg,Z6615022501,-87.92,2400,0.245902,NH,CC1(C)CN(CC=2C=CC=CC2O1)C(=O)C=3C=CC(Cl)=C(C3)C(=O)O,auto
ZINCqp00000kNF6U,Z6615022503,-87.9,2427,0.328358,144.29,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCC2=CC(=NO2)C=3C=CC(Cl)=CC3,auto/manual
ZINCpz000006XWGo,Z2940308998,-87.89,2450,0.444444,42.88,OC=1C(Cl)=CC(Cl)=CC1S(=O)(=O)NC=2C=CC(=CC2)N3C=CNC3=O,manual
ZINCpj00000drbac,Z6615022505,-87.89,2451,0.342105,NH,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCCC2CSC=3C=CC=CC3O2,auto
ZINCnf0000018phh,Z2721472505,-87.85,2514,0.441176,104.46,CN1N=CC(C(=O)O)=C1S(=O)(=O)NC2CCOC=3C=CC=CC23,auto
ZINCqr000005J3tK,Z6615022529,-87.81,2556,0.377049,281.86,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCC=2C=CC(=CC2)C(F)C(F)(F)F,auto/manual
ZINCpw00000aZKY8,Z6615022526,-87.81,2562,0.47619,NH,CC(NS(=O)(=O)C=1C=CC=C(Cl)C1O)C2=CN(N=N2)C=3C=CC=CC3,auto/manual
ZINCqp00000kNF6Y,Z6615020115,-87.8,2572,0.338235,NH,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCC2=CC=C(O2)C=3C=CC(F)=CC3,manual
ZINCqq000005IEHF,Z6615171805,-87.8,2573,0.485714,327.91,CC(C)C=1C=CC=2OCC[C@@H](NS(=O)(=O)C=3C=NN(C)C3C(=O)O)C2C1,auto
ZINCpu000003FNfB,Z6615022531,-87.8,2578,0.318841,296.09,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCCOC=2C(Cl)=CC(Cl)=CC2Cl,auto
ZINCrw000008x2B6,Z4581787816,-87.79,2582,0.266667,NH,CC1=CC=C(S1)C(=O)CCC(=O)N2CCN(CC=3C=COC3C(=O)O)CC2,auto
ZINCrz000007KDq6,Z6615022551,-87.77,2606,0.234375,NH,CN1N=C(CNC(=O)C2=CC=C(COC=3C=CC=CC3)O2)C(Br)=C1C(=O)O,auto/manual
ZINCnk00000lrILn,Z6615022554,-87.75,2627,0.411765,364.64,CCOC(=O)C1(CCCOC1)NS(=O)(=O)C=2C=CC=C(Cl)C2O,auto
ZINCoG000005DlFg,Z6615020117,-87.71,2666,0.444444,NH,OC=1C(Cl)=CC=CC1S(=O)(=O)NC(C2CCCC2)C=3C=CC=CN3,manual
ZINCpi00000dsXc0,Z6615022559,-87.71,2671,0.283784,NH,CC=1N=C(SC1C(=O)NCC=2C=NN(C)C2C(=O)O)C=3N=CC=CN3,auto/manual
ZINCkp00000czL1M,Z2940316421,-87.67,2737,0.448276,NH,OC=1C(Cl)=CC(Cl)=CC1S(=O)(=O)NCC=2N=CC=CN2,auto
ZINCps000005uWGq,Z4581804693,-87.66,2754,0.265625,NH,CN(CC(=O)NCC(CC=1C=CC=CN1)C(=O)O)C=2C=CC(Cl)=CC2,auto
ZINCsx0000061cOr,Z6615022582,-87.65,2765,0.267606,NH,CN1N=CC(CNC(=O)C=2C=CC=CC2OC=3C=CC=CC3C#N)=C1C(=O)O,auto/manual
ZINCoC000000Odoq,Z6615022584,-87.65,2772,0.30303,135.05,CC=1C=CC(NS(=O)(=O)C=2C=CC(F)=CC2O)=CC1C3=NC=CO3,auto/manual
ZINCny00000bsS4a,Z4572254898,-87.65,2781,0.283333,NH,CC(SC=1C=CC(C)=CC1)C(=O)NC2=C(C)N(C)N=C2C(=O)O,auto
ZINCow000000u0Gs,Z3863800920,-87.61,2829,0.236559,NH,CC1(CCN(C1)C(=O)C2=CN=C(COC=3C=CC=CC3)S2)C(=O)O,auto
ZINCpq00000dusY9,Z6615181852,-87.6,2844,0.313433,NH,CCCC=1C=CC(=CC1)C2=CN(N=N2)[C@H]3C[C@@H](C3)C(=O)NCC(=O)O,auto
ZINCrt000008F6N6,Z6615022613,-87.59,2855,0.315789,242.24,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC(C)(C=2C=CC=CC2)C=3C=CC=CC3,auto
ZINCoK000004aIKt,Z6615022618,-87.58,2875,0.375,125.14,OC=1C(Cl)=CC(Cl)=CC1S(=O)(=O)NCC2=COC=3C=CC(F)=CC23,auto
ZINCq800000ckcbj,Z6615022624,-87.58,2876,0.304348,NH,CC=1N=CC=C(N1)N2C=CC(NC(=O)C(=O)NC3CCCC3C(=O)O)=N2,auto
ZINCnv000001LpOT,Z6615022620,-87.58,2889,0.338235,NH,CC=1N=C(SC1C(=O)NCC=2C=CSC2C(=O)O)C3=NC=CN3,auto/manual
ZINCpj00000iwJW3,Z6615142399,-87.57,2893,0.2375,NH,CC1=NC(CC(=O)N2CCC(C2)NC(=O)C3=C(C)ON=C3O)=C(C)S1,auto
ZINCqk00000kMyqO,Z6615014813,-87.56,2912,0.347222,NH,CSC=1C=CC(=CC1)C2(CCOC2)NS(=O)(=O)C=3C=NN(C)C3C(=O)O,auto
ZINCqc00000aM3tV,Z6615014818,-87.55,2935,0.347826,NH,COC=1C=CC(CNS(=O)(=O)C=2C=NN(C)C2C(=O)O)=CC1OCC#C,auto
ZINCm50000071Kr3,Z6615020127,-87.55,2947,0.366197,NH,COCC1=CC(CNS(=O)(=O)C=2C=NN(C)C2C(=O)O)=NO1,auto/manual
ZINCno00000cA1Iu,Z6615014821,-87.53,2967,0.370968,255.69,COC(=O)CCCC(=O)CNS(=O)(=O)C=1C=C(Cl)C=C(Cl)C1O,auto
ZINCpy0000013of3,Z6615014824,-87.53,2978,0.2125,NH,OC(=O)C1=COC=2C=C(NC12)C(=O)N3CCC(CC3)N4C=C(Br)C=N4,auto
ZINCru000008FhoG,Z6615014826,-87.51,3010,0.384615,NH,CC(NS(=O)(=O)C=1C=NN(C)C1C(=O)O)C2=CSC(=N2)C=3C=CC(F)=CC3,auto
ZINCnk00000lzzM3,Z2773641003,-87.49,3058,0.428571,164.14,CON(C)C(=O)[C@H](CCSC)NS(=O)(=O)C=1C=CC=C(Cl)C1O,auto
ZINCsn00000gk4fi,Z6615014845,-87.48,3061,0.223881,NH,OC(=O)C1(C2CC3CC21)C3NC(=O)C4CCC5=NN=C(C=6C=CC=CC6)N5C4,auto
ZINCpI00000aqpUp,Z6615020132,-87.45,3099,0.440678,HB,CC(C)(CC1=CNC=2C=CC=CC12)NS(=O)(=O)C=3C=CC=C(Cl)C3O,auto/manual
ZINCnH000008bnOR,Z2275216423,-87.43,3151,0.490566,6.49,CC(C)OCC=1C=CC=CC1NS(=O)(=O)C=2C=CC=C(Cl)C2O,manual
ZINCou000005M8el,Z4151090571,-87.42,3158,0.442623,158.83,OC=1C(Cl)=CC=CC1S(=O)(=O)NC=2C=CC(OC3CCOC3)=NC2,manual
ZINCq700000pNyWi,Z6615014851,-87.42,3162,0.234568,NH,CC=1ON=C(O)C1C(=O)NC2CCN(C2)C(=O)C3CCCC4=NC=NN34,auto
ZINCnj00000clxUz,Z6615020145,-87.42,3173,0.31746,265.92,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCCSC=2C=CC=CC2F,auto/manual
ZINCoJ000006oXrc,Z6615020151,-87.39,3204,0.438596,330.99,CCC(NS(=O)(=O)C=1C=CC=C(Cl)C1O)C=2C=CC=C3C=CNC23,auto/manual
ZINCpl00000drBXS,Z6615020153,-87.38,3223,0.33871,NH,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC(CC=2C=CC=CC2)C(F)(F)F,manual
ZINCqk00000kPMe6,Z6615014870,-87.37,3234,0.275862,NH,OC(=O)CN1C=CN=C1CNC(=O)C=CC=2C=CC=CC2N3C=CC=N3,auto
ZINCr600000ge0zX,Z6615020155,-87.37,3235,0.396552,68.36,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCC=2C=CC(=CC2)S(=O)(=O)NC3CC3,manual
ZINCpc00000vM5ji,Z6615155029,-87.35,3274,0.193182,NH,CC=1C=NNC1CN2C=C(N=N2)C3CN(C3)C(=O)C4=C(C)ON=C4O,auto/manual
ZINCo9000009eBeW,Z6615154961,-87.35,3278,0.226667,NH,CC1=NC(=NN1C2=NN=CN2)C(=O)NC3=NC(CC(=O)O)=C(C)S3,auto/manual
ZINCot000004AncV,Z6615017518,-87.35,3279,0.45,37.84,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC2CCC=3C2=CC=C(Cl)C3Cl,auto/manual
ZINCqj00000kMktQ,Z6615014877,-87.29,3367,0.316456,NH,CCC(NS(=O)(=O)C=1C=NN(C)C1C(=O)O)C=2C=CC=3OCCOC3C2,auto
ZINCsE000004DJtF,Z6615020170,-87.29,3369,0.342466,98.14,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC(C=2C=CC=CC2)C=3C=CC(Cl)=CC3Cl,auto/manual
ZINCpK000006AHwY,Z6615155291,-87.28,3390,0.483871,3.64,CC=1C=C(O)N=C2C=CC(NS(=O)(=O)C=3C=C(Cl)C=C(Cl)C3O)=CC12,manual
ZINCml00000cKo14,Z2774472566,-87.28,3407,0.451613,NH,CC(C)N1CC(CNS(=O)(=O)C=2C=CC=C(Cl)C2O)CC1=O,auto
ZINCpt000002Qphq,Z6615020199,-87.27,3413,0.294118,NH,OC=1C(F)=CC(F)=CC1S(=O)(=O)NC=2C=C(C=CC2F)C=3N=CNN3,auto/manual
ZINCpI00000aW94w,Z6615020201,-87.27,3415,0.440678,206.17,OC=1C(Cl)=CC=CC1S(=O)(=O)NC(CCC=2C=CC=CC2)C(F)(F)F,auto/manual
ZINCpy000006MV1f,Z4577406815,-87.27,3427,0.309859,NH,CCCCOC=1C=CC(C(=O)NCC=2C=NN(C)C2C(=O)O)=C(Cl)C1,auto/manual
ZINCjw000005PC05,Z6615014898,-87.27,3429,0.471698,119.99,OC=1C(Cl)=CC=CC1S(=O)(=O)NC(C=C)C2CCC2,auto
ZINCkc00000ciYUN,Z6615020197,-87.27,3430,0.241379,NH,CC(NC(=O)C=1C=CC(=CC1)C2=NC=NN2C)C(=O)O,auto/manual
ZINCpo00000dsbV1,Z6615020210,-87.26,3446,0.310811,323.14,CC1CC(C1)(NS(=O)(=O)C=2C=NN(C)C2C(=O)O)C=3C=CC=CC3F,manual
ZINCoo00000jBfqK,Z6615146667,-87.24,3489,0.283784,172.63,CC=1ON=C(O)C1C(=O)NCC2CCCCN(C2)C(=O)C3(C)CC3,auto
ZINCtB000007iJ9W,Z6615020214,-87.23,3499,0.394366,272.86,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC(C=2C=CC(Cl)=CC2)C=3C=CC=C(F)C3F,auto/manual
ZINCnA000006AbUg,Z6615155870,-87.23,3509,0.367647,243.47,CC1=NC(=CS1)C=2C=CC(CNC(=O)C3=C(C)ON=C3O)=CC2,auto/manual
