Catalog ID,% displacement of 3HPGE2 at 10 µM,PRESTO-Tango -logIC50,PRESTO-Tango IC50 (nM),PRESTO-Tango Ki (nM),Arrestin-BRET -logIC50,Arrestin-BRET IC50 (nM),Arrestin-BRET  Ki (nM),SMILES,DOCK score
REAL300001325238,1.2,,,,,,,COc1ccccc1CN(Cc1cccs1)C(=O)Cc1cccc(C(=O)O)c1,-65.95
REAL300003262628,20.0,,,,,,,Cc1ccc(-n2nc(C(=O)Nc3ccc(CC(=O)O)cc3)c3c2CCC3)cc1,-74.47
REAL300003425649,3.6,,,,,,,Cc1cc(C)cc(C2(C(=O)NC(C)c3ncc(C(=O)O)s3)CC2)c1,-62.06
REAL300019629839,-2.6,,,,,,,CN(C(=O)c1cc(N2CCCC2=O)cc(C(F)(F)F)c1)c1nnn[nH]1,-58.68
REAL300008073447,9.0,,,,,,,O=C(O)C1CC2(CC(NS(=O)(=O)C=Cc3ccc(F)cc3)CCS2)C1,-63.99
REAL300005006680,-1.8,,,,,,,Cc1cccc(C2(C(=O)NC3CCSC4(C3)CC(C(=O)O)C4)CC2)c1,-67.37
REAL300013614079,-3.4,,,,,,,O=C(NCc1ccc(C(F)F)cc1)NC[C@H]1CC[C@H](C(=O)O)CC1,-57.99
REAL250003459220,-21.9,,,,,,,O=C(NC1CC(C(=O)O)C1)N[C@@H]1CCC[C@@H]1n1cccn1,-57.39
REAL300001804705,-14.7,,,,,,,CC1(C(=O)O)CCN(C(=O)C(O)c2ccc(Cl)c(Br)c2)C1,-62.58
REAL300002115485,-9.4,,,,,,,O=C(O)[C@H]1C[C@@H](C(=O)N(Cc2ccsc2)c2ccccc2)C1,-63.81
REAL300005169407,-6.1,,,,,,,CC(NC(=O)C1CC2(CC(C(=O)O)C2)C1)c1ccc(C(F)(F)F)s1,-57.66
REAL300013376731,-14.5,,,,,,,CN(Cc1nccn1C1CC1)c1ncnc2[nH]c(C(=O)O)cc12,-58.12
REAL300006182846,-13.7,,,,,,,O=C(O)CC[C@H]1C[C@@H](NC(=O)C(O)c2ccc(Cl)cc2Cl)C1,-57.75
REAL300013677239,-0.1,,,,,,,Cn1nc(-c2ccccc2)cc1CNC(=O)NC1CCC(C(=O)O)CC1,-63.14
REAL300016198140,-23.1,,,,,,,CCc1ncc(CN(CC(=O)O)C(=O)OCc2cccnc2)s1,-64.38
REAL300000160607,7.9,,,,,,,O=C(O)c1ccc(-c2ccc(C=C3CSc4ccc(F)cc4C3=O)o2)cc1O,-61.08
REAL300000241359,-3.2,,,,,,,O=C(O)Cc1ccc(C=C2C(=O)N3CCCc4cccc2c43)cc1,-67.21
REAL300002429182,-16.5,,,,,,,O=C(NCc1cc(Cl)cc2c1OCC2)c1cc2sc(C(=O)O)cc2[nH]1,-63.86
REAL300006517493,25.6,5.43,3760,752.0,5.39,4050.0,810.0,O=C(NC1CCCC(C(=O)O)CC1)c1csc(C2CCCCC2)c1,-63.15
REAL300006855709,-10.6,,,,,,,O=C(O)c1cc2c(s1)CCCN(C(=O)C1CC13CCc1ccccc13)C2,-65.65
REAL300007462915,11.6,,,,,,,CCSc1cc(C(=O)O)ccc1NC(=O)c1cnn(-c2ccccc2F)c1,-69.52
REAL300009514504,-10.3,,,,,,,O=C(NC1CCCC1C(=O)O)C(Sc1ccc(F)cc1)c1ccccc1,-63.54
REAL300011289329,-17.8,,,,,,,COc1ccc(Cl)cc1C(Nc1ncc(C(=O)O)s1)c1ccccc1,-62.05
REAL300011303194,62.9,6.07,850,170.0,6.046,899.0,180.0,O=C(O)C1CCC2(CC1)CC(Nc1ncnc3sc4c(c13)CCCC4)C2,-64.38
REAL300015794768,-17.1,,,,,,,O=C(O)c1c[nH]c2c(Cl)cc(-c3ccc4ccccc4c3F)cc2c1=O,-64.89
REAL300019362266,-28.7,,,,,,,O=C(O)C1(n2cc(Cc3ccc(F)cc3F)cn2)CCC(c2ccccc2)CC1,-63.39
REAL300019629778,-1.5,,,,,,,CN(C(=O)c1nc(C2CC2)n(-c2ccccc2Cl)n1)c1nnn[nH]1,-57.37
REAL300019966881,-8.5,,,,,,,O=C(Nc1cccc(-n2nn[nH]c2=O)c1)C1(c2ccccn2)CC1,-60.15
REAL300024335216,-11.6,,,,,,,COc1ccc(-c2cc(CS(=O)(=O)c3nnc(C)[nH]3)on2)cc1,-57.75
