compound_ID,% sigma2 binding at 1 uM,% sigma1 binding at 1 uM,sigma2 pKi,sigma1 pKi,SMILES,DOCK score
ZINC000595632104,45.67,,,,N#Cc1sccc1N1CCN(CCCCCn2cccn2)CC1,-56.68
ZINC000472356611,45.93,,,,C[C@@H]1[C@H](Cc2ccccc2)CCN1Cc1cc(=O)n2cc(Cl)ccc2n1,-57.36
ZINC000574654702,48.43,,,,CCc1nc2cc(CN[C@@H](C)CC(=O)N3CCCCCC3)ccc2n1C1CC1,-55.62
ZINC000656508398,55.94,,,,OC[C@]1(CNC2=NCCCN2)CCc2ccccc21,-57.2
ZINC000296612417,59.24,,,,C[C@H](COc1ccc(Cl)c(Cl)c1)N[C@@H](C)Cn1cncn1,-56.76
ZINC000336580930,60.93,,,,O=C1NCCC[C@@H]1N1CC[C@@H](c2cccc(Cl)c2)C1,-55.27
ZINC000176995469,61.44,,,,C[C@H](c1ccccn1)N1CC=C(c2ccc(O)cc2)CC1,-55.9
ZINC000571080072,64.01,,,,C[C@H](C(=O)NCc1ccc(Cl)cc1)N1CC[C@@H](c2cccnc2)C1,-60.05
ZINC000133991118,65.39,,,,C[C@@H](Cn1cc(Br)cn1)NCCOc1ccc2c(c1)OCO2,-55.24
ZINC000473272986,66.54,,,,COc1ccnc(N2CCN([C@H](C)CCSc3ccccc3)CC2)n1,-56.23
ZINC000247015101,72.96,,,,O=C1[C@H](N2C[C@@H]3CCC[C@H]3C2)CCN1c1ccccc1Cl,-57.45
ZINC000131571127,76.6,,,,C[C@H](Cn1cc(Br)cn1)NCc1cn2cc(Cl)ccc2n1,-55.18
ZINC000407281203,80.82,,,,CCc1cc(NC(=O)[C@@H]2CC[C@H](C3CC3)N2)ccc1C,-56.29
ZINC000528002641,84.01,,,,C[C@@H](N[C@H]1Cc2ccccc2NC1=O)[C@@H]1C[C@H]1c1ccc(Cl)s1,-55.42
ZINC000248559983,87.36,,,,CN(C[C@@H](O)CCc1ccccc1)[C@H]1CCN(c2ccccc2F)C1=O,-56.91
ZINC000093013680,89.57,,,,c1sc(CN2CCC3(C2)OCCO3)cc1-c1ccccc1,-55.88
ZINC000769519341,91.7,,,,C[C@H](CCN1C(=O)c2ccccc2C1=O)NC[C@@H](O)c1c(F)cccc1F,-55.28
ZINC000911907143,93.12,,,,Cc1ccc(NC(=O)C23CCC(CC2)N3)cc1[N+](=O)[O-],-56.14
ZINC000893277758,95.13,,,,Cc1cccc2sc(N3CCN(CCO)[C@H](C)C3)nc21,-55.3
ZINC000892713700,99.47,,,,CC[C@H](CO)N1CCN(c2cc(Cl)c3cnn(C)c3n2)CC1,-57.1
ZINC000435004139,99.61,,,,CN(C(=O)CN1CCC(c2cnc[nH]2)CC1)C(c1ccccc1)c1ccccc1,-55.91
ZINC000659267272,101.04,,,,CCOc1cc2c(cc1NC(=O)C[C@@H]1NCc3ccccc31)O[C@@H](C)C2,-56.47
ZINC000820594289,103.85,,,,C[C@H]1[C@H](N(C)C)CCN1c1snc(Cl)c1C#N,-55.6
ZINC000665143541,108.24,,,,CN(C)Cc1ccc(-c2cscc2CCO)cc1F,-55.34
ZINC000777733869,108.38,,,,O=C1NCCC[C@@H]1N1CC[C@@](O)(c2ccc(F)cc2)C1,-57.03
ZINC000369205980,111.83,,,,N#CC1(c2ccccn2)CCN([C@@H]2Cc3ccccc3[C@@H]2O)CC1,-55.59
ZINC000287374567,113.54,,,,O[C@H]1c2ccccc2C[C@H]1N1Cc2cccc(Cl)c2C1,-55.63
ZINC000681377109,113.85,,,,Fc1cc(Br)cnc1N1CCN(CCc2cccs2)CC1,-55.51
ZINC001525937517,116.95,,,,O=C(OC[C@@H]1CCN1Cc1ccccc1)c1nccc2occc21,-57.41
ZINC000550829396,19.57,28.57,,,Cn1nccc1[C@@H]1CCC[C@@H](N[C@H]2CC3CCC2CC3)C1,-19.0
