zincid,ID,compound_ID,SMILES,%Inhibition at 100µM,IC50 (DMSO) [µM],IC50 (ACN) [µM],IC50 (EtOH) [µM],Conc. for aggregation test [µM],smiles,tranche,DOCK score
ZINCmt0000011CK5,Z2906499219,Z2906499219,ClC=1C=CC(Br)=CC1CC(=O)N2CCC=3N=CNC(=O)C3C2,,>200,,,100,O=C(Cc1cc(Br)ccc1Cl)N1CCc2ncnc(O)c2C1,H22P230,-47.9
ZINCpt000000ex0c,Z2919096203,Z2919096203,FC(F)(F)C=1C=CC=CC1N2CCC(SC3=NN=C4NC=NN34)C2=O,,>200,,,200,O=C1[C@@H](Sc2nnc3nc[nH]n23)CCN1c1ccccc1C(F)(F)F,H25P230,-47.82
ZINCkx000004n17C,Z3011044205,Z3011044205,CC(OC(=O)C1CC12C(=O)NC=3C=CC=CC32)C=4C=CC(F)=CC4,,>200,,,200,C#CC[C@@H](NC(=O)C1(c2cncc(Br)c2)CC1)C1CC1,H20P270,-47.37
ZINCov000000hlKR,Z3051579683,Z3051579683,FC=1C=C(NCC(F)(F)F)C=C(NC(=O)C2(CC2)N3C=CN=N3)C1,,>200,,,200,O=C(Nc1cc(F)cc(NCC(F)(F)F)c1)C1(n2ccnn2)CC1,H24P250,-47.92
ZINClE00000389uB,Z3079159560,Z3079159560,CN(C(=O)C(F)(F)C=1C=CC=NC1)C=2C=C(C)C=CC2C,,90,,,200,Cc1ccc(C)c(N(C)C(=O)C(F)(F)c2cccnc2)c1,H21P340,-51.91
ZINCjs000002KQ2e,Z3082081918,Z3082081918,CC=1C=CC(I)=C(OC(=O)C2(CC2)N3C=CN=N3)C1,,>200,,,300,Cc1ccc(I)c(OC(=O)C2(n3ccnn3)CC2)c1,H19P220,-52.47
ZINClI000003MxWA,Z3091644306,Z3091644306,FC(F)(F)C=1C=NC=C(NC(=O)C2(CC2)C3=CC=CS3)C1,,>200,,,300,O=C(Nc1cncc(C(F)(F)F)c1)C1(c2cccs2)CC1,H21P380,-47.81
ZINCkp00000c5EO9,Z3193214807,Z3193214807,CN(CCCN1C=CN=C1)C(=O)C(F)(F)C2=CN=CS2,,>200,,,300,CN(CCCn1ccnc1)C(=O)C(F)(F)c1cncs1,H20P190,-47.96
ZINCoH000003Fu8w,Z3268858756,Z3268858756,CC=1C=CN=CC1CC2=NN=C(CCC3=CC=CO3)N2,,>200,,,200,O=C(c1cncc2ncccc12)N1CCC[C@@H]1c1cccc(F)c1,H24P370,-28.96
ZINCkn00000hw4PW,Z3312024054,Z3312024054,"NC(=O)CNC(=O)[C@@H]1[C@H]2C[C@@]1(CC2)C=3C=CC=C(Br)C3 |&1:7,8,10,r|",,>200,,,200,NC(=O)CNC(=O)[C@@H]1[C@@H]2CC[C@@]1(c1cccc(Br)c1)C2,H20P170,-49.51
ZINCmt000000VOxh,Z3361278186,Z3361278186,COC=1C=NC=C(NC(=O)C2(CCOC2)C=3C=CC=CC3)C1,,>200,,,200,COc1cncc(NC(=O)[C@]2(c3ccccc3)CCOC2)c1,H22P230,-39.48
ZINCk50000045Dkt,Z3367165442,Z3367165442,FC=1C=NC(CCC(=O)N2CCCC2C=3C=NC=C(Br)C3)=NC1,,>200,,,200,Cn1cncc1[C@H](O)C(=O)N[C@H]1CCn2nccc2C1,H20M000,-33.46
