zincid,ID,compound_ID,SMILES,%Inhibition at 100µM,IC50 (DMSO) [µM],IC50 (ACN) [µM],IC50 (EtOH) [µM],Conc. for aggregation test [µM],smiles,tranche,DOCK score
ZINCoi00000bC7HT,Z5420225424,Z5420225424,CCOCC(C(=O)N[C@@H](C)C1=NC=CS1)N2C=C(CN(C)C)N=N2,,>200,,,300,CCOC[C@@H](C(=O)N[C@H](C)c1nccs1)n1cc(CN(C)C)nn1,H24P120,-25.05
ZINCig00000eYceP,Z5420225429,Z5420225429,CN(C1CCN(C1)C(=O)C)C(=O)C=2NC=CC2C,,>200,,,200,CC(=O)N1CC[C@H](N(C)C(=O)c2[nH]ccc2C)C1,H18P100,-45.73
ZINCne00000i2y8t,Z5420225437,Z5420225437,CCC(=O)N(C)C(CNC(=O)C1CCNC1=O)C=2C=CC=CC2,,>200,,,200,CCC(=O)N(C)[C@@H](CNC(=O)[C@H]1CCNC1=O)c1ccccc1,H23P080,-46.43
ZINClB000002BioZ,Z5420225639,Z5420225639,OC=1N=CC(Br)=CC1CNC(=O)C2CC=3C=CC(Cl)=CC23,,>200,,,200,O=C(NCc1cc(Br)cnc1O)[C@H]1Cc2ccc(Cl)cc21,H21P310,-51.05
ZINCkk00000hhUUQ,Z5420225671,Z5420225671,O=C(CSC1=NN=C2NC=NN12)C3CC=4C=CC=CC34,,>200,,,200,O=C(CSc1nnc2nc[nH]n12)[C@H]1Cc2ccccc21,H20P140,-46.57
ZINClJ000003UHPl,Z5420225747,Z5420225747,ClC=1C=C(Br)C=C(NC(=O)C2OC(=O)C=3C=CC=CC23)C1,,>200,,,100,O=C1O[C@@H](C(=O)Nc2cc(Cl)cc(Br)c2)c2ccccc21,H21P390,-45.43
ZINClE0000038gCD,Z5420225795,Z5420225795,CC=1C=CC(F)=CC1C(=O)C(=O)NC=2C=NC=C(Br)C2C,,40,,,100,Cc1ccc(F)cc1C(=O)C(=O)Nc1cncc(Br)c1C,H21P340,-46.62
ZINCow000000xv0v,Z5420226111,Z5420226111,CC=1C=NN(C1)C=2C=CN=CC2NC(=O)C(=O)C=3C=CC=C(C)C3,,>200,,,200,Cc1nn(C)cc1[C@@H]1CCCN1C(=O)c1cnnc2ccccc12,H24P260,-44.56
ZINCkh0000053HVZ,Z5420226617,Z5420226617,COC=1C=CC=CC1C(=O)C(=O)NC=2C=CC=[N+]([O-])C2,,>200,,,,COc1ccccc1C(=O)C(=O)Nc1ccc[n+]([O-])c1,H20P110,-49.85
ZINClk000007UdT5,Z5420226841,Z5420226841,CC(=O)NC=1C=C(F)C=CC1C(=O)NCC2=CN=CN2C,,>200,,,200,CC(=O)Nc1cc(F)ccc1C(=O)NCc1cncn1C,H21P140,-53.95
ZINCjv0000036cc0,Z5420226975,Z5420226975,CS(=O)C=1C=CC=CC1C(=O)NCC=2SN=CC2Br,,>200,,,100,C[S@](=O)c1ccccc1C(=O)NCc1sncc1Br,H19P250,-47.52
ZINCkp000006bR7V,Z5420227202,Z5420227202,CN1C=NC=C1CCC(=O)NC=2C(O)=CC(F)=CC2F,,>200,,,,Cn1cncc1CCC(=O)Nc1c(O)cc(F)cc1F,H20P190,-47.18
ZINCoH000003Fu8w,Z5420227748,Z5420227748,O=C(NC=1C=CC=CC1N2C=CN=C2)C3OC(=O)C=4C=CC=CC34,,>200,,,200,O=C(c1cncc2ncccc12)N1CCC[C@@H]1c1cccc(F)c1,H24P370,-28.96
ZINCjf000002Szrl,Z5420227794,Z5420227794,CN1C=CC(CNC(=O)C=2C=NN3C=CN(C)C23)=C1,,>200,,,100,Cn1ccc(CNC(=O)c2cnn3ccn(C)c23)c1,H19P090,-44.97
ZINClw000001vDQM,Z5420227982,Z5420227982,CN1C=NC=C1C(O)C(=O)N2CCCC2C3=CC=C(Br)S3,,>200,,,,Cn1cncc1[C@@H](O)C(=O)N1CCC[C@H]1c1ccc(Br)s1,H21P260,-50.24
ZINCku000003uA9C,Z5420227999,Z5420227999,FC=1C=CC(F)=C(C1)C2(CC2)C(=O)NC=3C=NC=NC3,,>200,,,100,O=C(Nc1cncnc1)C1(c2cc(F)ccc2F)CC1,H20P240,-44.9
ZINCjp000003TTR7,Z5420228095,Z5420228095,NC(=O)NC(CC=1C=CC=CC1)CC=2C=CC=NC2,,>200,,,200,NC(=O)N[C@@H](Cc1ccccc1)Cc1cccnc1,H19P190,-44.29
ZINCmu000001coBt,Z5420228386,Z5420228386,COC=1C=CC(Cl)=CC1N2C(=O)NC(CC3=CN=CS3)C2=O,,>200,,,100,COc1ccc(Cl)cc1N1C(=O)N[C@H](Cc2cncs2)C1=O,H22P240,-49.8
ZINCow000000ArTF,Z5420228488,Z5420228488,O=C(OCC1=CC=2C=CC=CC2NC1=O)C3(CC3)C=4C=CN=CC4,,60,,,200,O=C(OCc1cc2ccccc2nc1O)C1(c2ccncc2)CC1,H24P260,-49.97
ZINCoC000000PJMw,Z5420228577,Z5420228577,CN1C=NC=C1CCOC=2C=CC=CC2C(=O)NC=3C=CC=CC3,,>200,,,200,Cn1cncc1CCOc1ccccc1C(=O)Nc1ccccc1,H24P320,-43.59
ZINCmu000001gamY,Z5420228581,Z5420228581,CC1=CC=C(CNC(=O)CN2C(=O)OC=3C=CC(F)=CC23)S1,,>200,,,,Cc1ccc(CNC(=O)Cn2c(=O)oc3ccc(F)cc32)s1,H22P240,-46.99
ZINCnA000000wW3i,Z5420228620,Z5420228620,CC1C(CC=2C=CC=CC12)C(=O)NC=3C=CC=C4NC(=O)OC34,,>200,,,300,C[C@@H]1c2ccccc2C[C@H]1C(=O)Nc1cccc2nc(O)oc12,H23P300,-45.87
ZINCny000006KAQD,Z5420228968,Z5420228968,CC=1N=CC=CC1C(=O)CSC2=NN=C3NC=4C=CC=CC4N23,,>200,,,200,Cc1ncccc1C(=O)CSc1n[nH]c2nc3ccccc3n12,H23P280,-56.48
ZINCku000000MDsq,Z5420738300,Z5420738300,CC=1C=C(C=CC1F)C(=O)C(=O)NC=2C=NC=CC2F,,160,,,300,Cc1cc(C(=O)C(=O)Nc2cnccc2F)ccc1F,H20P240,-39.53
ZINCoH000003Fu8z,Z5437068171,Z5437068171,FC=1C=CC=C(C1)C2CCCN2C(=O)C=3C=NC=C4N=CC=CC34,,>200,,,200,O=C(c1cncc2ncccc12)N1CCC[C@H]1c1cccc(F)c1,H24P370,-44.86
